"cliente_id","apellido","created_at","direccion","email","estado","fecha_nacimiento","nombre","telefono","updated_at","tenant_id"
"22","Beltran","2025-02-17 06:20:55","Cuesta de Salomón Hervás 20, Ceuta, 12526","aitana.beltran@yahoo.com",True,"2001-10-10 00:00:00","Aitana","+34 984 70 83 17","2025-02-27 06:20:55","1"
"23","Sobrino","2024-01-02 23:31:19","Paseo de Victor Manuel Cuenca 57 Apt. 48 , Santa Cruz de Tenerife, 16679","eliseo.sobrino@hotmail.com",True,"1984-05-09 00:00:00","Eliseo","+34 822434558","2024-02-05 23:31:19","1"
"24","Chacón","2024-04-01 05:01:43","Glorieta Bernardo Ribera 95 Piso 6 , Castellón, 28534","cecilio.chacón@gmail.com",True,"2006-10-21 00:00:00","Cecilio","+34 729 67 05 46","2024-05-20 05:01:43","1"
"25","Rius","2024-09-29 00:21:54","Callejón Tristán Torralba 7 Piso 6 , Lleida, 09364","reyna.rius@hotmail.com",True,"1990-10-07 00:00:00","Reyna","+34736 990 162","2024-11-27 00:21:54","1"
"26","Serrano","2023-06-18 17:59:07","Alameda de Héctor Sanz 75 Piso 6 , Ávila, 31822","roxana.serrano@gmail.com",True,"2005-05-23 00:00:00","Roxana","+34 988 053 100","2023-07-21 17:59:07","1"
"27","Flores","2024-09-17 08:34:06","Cuesta Haydée Carbó 537, Cáceres, 40707","jose miguel.flores@gmail.com",True,"2005-04-25 00:00:00","Jose Miguel","+34828 241 904","2024-11-14 08:34:06","1"
"28","Perez","2024-10-29 12:18:22","Via Josefina Mata 119, Murcia, 29074","coral.perez@yahoo.com",True,"1979-08-21 00:00:00","Coral","+34820850671","2024-10-29 12:18:22","1"
"29","Paredes","2025-03-06 01:27:47","Rambla de Macarena Vélez 99, Lleida, 29545","toribio.paredes@hotmail.com",True,"2004-03-01 00:00:00","Toribio","+34884531473","2025-04-13 01:27:47","1"
"30","Sobrino","2024-11-29 07:40:01","Cuesta Renata Morcillo 47 Piso 4 , Cuenca, 40069","maricela.sobrino@hotmail.com",True,"1973-03-21 00:00:00","Maricela","+34708313678","2024-12-19 07:40:01","1"
"31","Hernandez","2024-07-20 01:45:24","Plaza de Ciro Mariscal 46 Piso 9 , Lugo, 37272","marta.hernandez@hotmail.com",True,"1977-10-24 00:00:00","Marta","+34949 855 744","2024-08-20 01:45:24","1"
"32","Gual","2024-01-19 19:05:20","Paseo María Belén Esteve 83 Piso 9 , Badajoz, 13721","josé.gual@gmail.com",True,"1969-11-25 00:00:00","José","+34927 240 824","2024-01-20 19:05:20","1"
"33","Ballester","2023-07-13 14:23:10","Via de Salud Alberola 847, Guipúzcoa, 13082","artemio.ballester@hotmail.com",True,"1971-08-08 00:00:00","Artemio","+34977 116 719","2023-07-20 14:23:10","1"
"34","Baeza","2025-04-01 19:19:24","Urbanización Diego Rico 499 Puerta 6 , León, 20487","eva.baeza@gmail.com",True,"1994-06-20 00:00:00","Eva","+34 954990913","2025-05-30 19:19:24","1"
"35","Galván","2024-06-02 16:27:29","Rambla Carmina Benavides 70, Tarragona, 39916","eufemia.galván@yahoo.com",True,"1974-03-29 00:00:00","Eufemia","+34743 447 134","2024-06-25 16:27:29","1"
"36","Figuerola","2024-09-07 21:04:46","Callejón Pascuala Cisneros 1, Zamora, 21159","mirta.figuerola@yahoo.com",True,"2005-05-21 00:00:00","Mirta","+34 888717464","2024-11-02 21:04:46","1"
"37","Uribe","2024-09-01 17:25:09","Alameda de Elisabet Ibáñez 2, Soria, 38696","angelita.uribe@yahoo.com",True,"1955-10-31 00:00:00","Angelita","+34884 90 27 87","2024-10-24 17:25:09","1"
"38","Lobo","2024-04-09 17:37:32","Cuesta Pablo Real 25 Apt. 56 , Girona, 44423","yésica.lobo@gmail.com",True,"2006-03-04 00:00:00","Yésica","+34 800715451","2024-05-30 17:37:32","1"
"39","Quintero","2024-08-03 06:51:03","Calle de Godofredo Villegas 89 Puerta 7 , Castellón, 18501","maría teresa.quintero@hotmail.com",True,"1963-05-03 00:00:00","María Teresa","+34 888 771 093","2024-08-22 06:51:03","1"
"40","Cuadrado","2024-06-04 11:28:10","Urbanización Prudencia Carballo 31 Piso 4 , La Rioja, 32621","leire.cuadrado@yahoo.com",True,"1971-01-02 00:00:00","Leire","+34973 82 63 98","2024-06-19 11:28:10","1"
"41","Cerezo","2024-08-05 09:08:27","Pasadizo de Juanito Acedo 84 Apt. 78 , Huelva, 22786","margarita.cerezo@gmail.com",True,"2006-05-02 00:00:00","Margarita","+34988675339","2024-08-08 09:08:27","1"
"42","Guillen","2023-08-20 03:24:55","C. de Rolando Cornejo 30 Puerta 9 , Badajoz, 29855","rodolfo.guillen@yahoo.com",True,"1990-03-18 00:00:00","Rodolfo","+34973 02 62 17","2023-09-04 03:24:55","1"
"43","Landa","2024-11-16 06:47:14","Paseo de Ricardo Moliner 18, Ciudad, 42363","merche.landa@yahoo.com",True,"1973-12-22 00:00:00","Merche","+34877161172","2025-01-11 06:47:14","1"
"44","Marí","2023-08-04 00:43:53","Cañada Plinio Perera 42 Puerta 6 , Cáceres, 12473","joaquina.marí@gmail.com",True,"1995-11-24 00:00:00","Joaquina","+34 942937923","2023-09-09 00:43:53","1"
"45","Izquierdo","2024-10-11 23:20:07","Cañada de Inés Cruz 8, Palencia, 20605","íñigo.izquierdo@yahoo.com",True,"1983-04-18 00:00:00","Íñigo","+34881743671","2024-12-10 23:20:07","1"
"46","Pizarro","2024-09-17 05:09:59","Plaza de Paula Priego 10 Puerta 7 , Vizcaya, 16081","jordi.pizarro@hotmail.com",True,"1978-05-24 00:00:00","Jordi","+34 876 39 42 10","2024-09-22 05:09:59","1"
"47","Saez","2025-05-13 05:17:10","Cañada Nacho Ribes 33, Melilla, 33885","martin.saez@gmail.com",True,"1972-12-18 00:00:00","Martin","+34 848 474 517","2025-05-18 05:17:10","1"
"48","Chico","2023-08-26 20:22:20","C. Alberto Lamas 617 Puerta 4 , Santa Cruz de Tenerife, 25344","carlos.chico@gmail.com",True,"2000-05-05 00:00:00","Carlos","+34878 70 98 59","2023-10-11 20:22:20","1"
"49","Barroso","2023-09-17 01:36:57","Via de Enrique Arrieta 5 Piso 1 , Ciudad, 36228","ismael.barroso@hotmail.com",True,"1980-11-12 00:00:00","Ismael","+34 973 58 69 26","2023-10-18 01:36:57","1"
"50","Cabeza","2024-01-03 23:27:27","Acceso Isaac Salcedo 63 Apt. 58 , Almería, 27092","fátima.cabeza@yahoo.com",True,"1967-05-03 00:00:00","Fátima","+34837 13 90 05","2024-02-24 23:27:27","1"
"51","Casas","2024-07-27 07:00:02","Camino Inocencio Guijarro 12, Burgos, 09519","jose francisco.casas@hotmail.com",True,"1971-06-24 00:00:00","Jose Francisco","+34849102053","2024-07-31 07:00:02","1"
"52","Morante","2023-11-22 18:38:29","Vial Manuela Robledo 811 Piso 5 , León, 34019","dionisia.morante@gmail.com",True,"1996-04-11 00:00:00","Dionisia","+34 803 84 70 07","2024-01-09 18:38:29","1"
"53","Querol","2024-07-19 18:57:03","Avenida de Trini Berrocal 39 Apt. 24 , Jaén, 40150","rebeca.querol@yahoo.com",True,"1974-06-27 00:00:00","Rebeca","+34 973 89 61 18","2024-08-22 18:57:03","1"
"54","Garrido","2024-11-01 07:09:50","Alameda de Pastora Santana 26, Las Palmas, 21481","lorena.garrido@yahoo.com",True,"1971-10-07 00:00:00","Lorena","+34932 71 11 16","2024-12-20 07:09:50","1"
"55","Peralta","2024-07-01 19:30:36","Ronda Paulino Rocha 5 Puerta 4 , Badajoz, 38874","clemente.peralta@gmail.com",True,"1968-11-23 00:00:00","Clemente","+34 846 73 15 85","2024-07-09 19:30:36","1"
"56","Lopez","2024-10-26 06:26:48","Callejón Ambrosio Escribano 64 Piso 0 , Burgos, 38114","darío.lopez@hotmail.com",True,"1981-09-10 00:00:00","Darío","+34820 20 18 36","2024-11-03 06:26:48","1"
"57","Santiago","2024-10-29 20:05:10","Alameda de Maxi Blazquez 3 Apt. 90 , Cuenca, 30039","simón.santiago@yahoo.com",True,"1983-04-10 00:00:00","Simón","+34978 97 64 38","2024-12-10 20:05:10","1"
"58","Ochoa","2024-01-23 19:31:07","Pasadizo de Guadalupe Mendez 4 Piso 9 , Álava, 14397","danilo.ochoa@yahoo.com",True,"1968-10-17 00:00:00","Danilo","+34 843 44 51 07","2024-02-22 19:31:07","1"
"59","Ros","2025-05-19 04:22:01","Pasadizo Celia Pablo 7 Puerta 0 , Albacete, 31130","margarita.ros@gmail.com",True,"1959-09-20 00:00:00","Margarita","+34 919 69 66 41","2025-07-18 04:22:01","1"
"60","Almansa","2024-02-22 09:38:27","Avenida de Ulises Camacho 76 Puerta 1 , Granada, 49877","sandalio.almansa@yahoo.com",True,"1969-07-01 00:00:00","Sandalio","+34922 21 81 88","2024-03-28 09:38:27","1"
"61","Olmedo","2024-10-03 10:28:05","Vial José María Figueroa 39, Cádiz, 51649","guillermo.olmedo@yahoo.com",True,"1988-01-17 00:00:00","Guillermo","+34 975997995","2024-10-13 10:28:05","1"
"62","Molina","2024-01-30 19:04:35","Pasaje de Evangelina Mateo 19, Málaga, 05862","rosario.molina@gmail.com",True,"1985-11-03 00:00:00","Rosario","+34 973 005 411","2024-02-15 19:04:35","1"
"63","Vendrell","2023-08-23 02:04:10","Camino de Florinda Fabra 89, Almería, 30525","encarnacion.vendrell@yahoo.com",True,"1977-10-16 00:00:00","Encarnacion","+34 823 82 03 77","2023-09-25 02:04:10","1"
"64","Yáñez","2024-08-10 01:50:34","Cañada de Roldán Rebollo 19 Puerta 5 , Guipúzcoa, 07193","azucena.yáñez@hotmail.com",True,"2000-08-01 00:00:00","Azucena","+34942 44 92 51","2024-10-04 01:50:34","1"
"65","Cid","2024-01-29 14:20:08","Avenida Martín Peñas 92 Apt. 68 , Albacete, 24763","dafne.cid@yahoo.com",True,"1966-09-08 00:00:00","Dafne","+34875 573 322","2024-03-07 14:20:08","1"
"66","Marqués","2024-11-10 00:58:24","C. Fabio Cámara 39 Puerta 7 , La Rioja, 24874","casemiro.marqués@gmail.com",True,"2003-05-22 00:00:00","Casemiro","+34879 794 738","2024-12-07 00:58:24","1"
"67","Mendoza","2023-09-19 04:35:25","Pasaje de María José Luján 98 Piso 2 , Zaragoza, 40627","jorge.mendoza@yahoo.com",True,"1971-06-07 00:00:00","Jorge","+34806 75 81 81","2023-10-02 04:35:25","1"
"68","Blanes","2023-12-03 19:52:35","Ronda Ciriaco Girona 15 Piso 0 , Málaga, 25507","lucas.blanes@gmail.com",True,"1980-09-12 00:00:00","Lucas","+34822 53 05 15","2024-01-31 19:52:35","1"
"69","Coll","2025-06-02 23:44:12","Vial de Martina Somoza 19 Apt. 04 , Burgos, 36966","máxima.coll@gmail.com",True,"2003-11-28 00:00:00","Máxima","+34 986 614 341","2025-07-06 23:44:12","1"
"70","Gómez","2024-09-23 05:32:09","Cuesta Edelmira Alegre 393, Las Palmas, 01102","asdrubal.gómez@yahoo.com",True,"1978-06-06 00:00:00","Asdrubal","+34 880 962 185","2024-11-10 05:32:09","1"
"71","Zorrilla","2024-10-26 01:58:06","Calle de Fabiola Pombo 14 Piso 1 , Ciudad, 49034","borja.zorrilla@hotmail.com",True,"1997-03-04 00:00:00","Borja","+34826952058","2024-12-11 01:58:06","1"
"72","Díez","2024-07-08 00:06:04","Vial Bernardino Seco 5 Apt. 03 , Guadalajara, 21321","nilo.díez@hotmail.com",True,"1981-07-08 00:00:00","Nilo","+34988740345","2024-08-21 00:06:04","1"
"73","Asenjo","2023-12-27 20:41:19","Acceso Ulises Páez 66 Apt. 77 , Zaragoza, 35031","rosalva.asenjo@hotmail.com",True,"1960-01-16 00:00:00","Rosalva","+34 949 16 92 84","2024-01-08 20:41:19","1"
"74","Calderon","2024-01-02 22:44:15","Pasaje de Elisa Rojas 67 Piso 0 , Salamanca, 29504","miguel ángel.calderon@gmail.com",True,"1997-12-08 00:00:00","Miguel Ángel","+34807165820","2024-02-16 22:44:15","1"
"75","Ríos","2024-05-13 12:16:58","Acceso Porfirio Piñol 309, Huesca, 25380","eric.ríos@gmail.com",True,"2006-05-07 00:00:00","Eric","+34 822 928 565","2024-06-01 12:16:58","1"
"76","Lopez","2024-01-11 12:11:36","Cuesta Aura Pombo 514, Castellón, 41099","florentina.lopez@gmail.com",True,"2001-08-23 00:00:00","Florentina","+34979312172","2024-02-05 12:11:36","1"
"77","Salgado","2025-02-07 21:49:44","Paseo Candela Manrique 32 Piso 8 , Baleares, 14171","trini.salgado@gmail.com",True,"1963-11-14 00:00:00","Trini","+34 879 70 58 95","2025-03-21 21:49:44","1"
"78","Castilla","2023-07-31 07:11:27","C. de Liliana Tejero 266, Guadalajara, 43096","adelia.castilla@hotmail.com",True,"1985-01-15 00:00:00","Adelia","+34975 852 892","2023-09-10 07:11:27","1"
"79","Castelló","2023-11-03 03:59:15","Cañada Fidel Cáceres 63, Ávila, 17423","maría jesús.castelló@yahoo.com",True,"1997-08-20 00:00:00","María Jesús","+34885 24 98 18","2023-11-26 03:59:15","1"
"80","Domingo","2025-01-19 09:48:24","Camino de Ariel Andrade 1, Segovia, 14815","felipa.domingo@hotmail.com",True,"1993-05-09 00:00:00","Felipa","+34 948 907 844","2025-02-16 09:48:24","1"
"81","Hierro","2023-09-23 06:49:59","Avenida de Jennifer Barreda 77 Piso 7 , Guipúzcoa, 40758","almudena.hierro@hotmail.com",True,"1975-09-10 00:00:00","Almudena","+34 920 56 25 88","2023-11-19 06:49:59","1"
"82","Montaña","2024-04-23 11:15:04","Pasaje de Jose Miguel Chico 1, Jaén, 41329","curro.montaña@gmail.com",True,"1971-04-25 00:00:00","Curro","+34 847595327","2024-05-26 11:15:04","1"
"83","Solera","2024-06-22 02:09:04","Avenida Rubén Vega 43 Puerta 5 , Almería, 19438","aránzazu.solera@yahoo.com",True,"1995-01-30 00:00:00","Aránzazu","+34 976480162","2024-07-20 02:09:04","1"
"84","Lamas","2024-05-18 11:52:07","Calle de Salvador Azcona 683 Puerta 4 , Jaén, 34046","sofía.lamas@hotmail.com",True,"2006-06-09 00:00:00","Sofía","+34886991216","2024-05-25 11:52:07","1"
"85","Nicolau","2024-02-17 08:59:00","Pasadizo Samu Vall 1, Barcelona, 47765","raúl.nicolau@hotmail.com",True,"1986-08-28 00:00:00","Raúl","+34984 729 825","2024-03-03 08:59:00","1"
"86","Montalbán","2023-08-27 19:49:56","Pasadizo de Patricia Vergara 579 Piso 0 , Guipúzcoa, 45158","emperatriz.montalbán@gmail.com",True,"1982-10-07 00:00:00","Emperatriz","+34902 097 499","2023-09-10 19:49:56","1"
"87","Aznar","2024-02-02 08:18:23","Vial de Paca Herrera 2, Albacete, 29903","javier.aznar@hotmail.com",True,"1982-12-01 00:00:00","Javier","+34845 63 68 97","2024-02-06 08:18:23","1"
"88","Barrios","2024-11-09 15:45:29","Cuesta de Begoña Peñas 82, Murcia, 24218","salud.barrios@hotmail.com",True,"2006-12-14 00:00:00","Salud","+34 884 973 348","2024-11-30 15:45:29","1"
"89","Gomila","2025-01-24 03:37:05","Alameda de Alexandra Oller 244, La Coruña, 23618","marc.gomila@yahoo.com",True,"1964-05-21 00:00:00","Marc","+34888 041 574","2025-01-25 03:37:05","1"
"90","Tello","2024-12-11 21:10:41","Vial de César Heras 90 Apt. 30 , La Rioja, 22646","mariana.tello@gmail.com",True,"1986-07-26 00:00:00","Mariana","+34 826 208 267","2025-01-17 21:10:41","1"
"91","Flores","2025-04-11 05:19:53","Avenida Florinda Guerra 702 Apt. 06 , Cádiz, 50086","albina.flores@yahoo.com",True,"1974-02-12 00:00:00","Albina","+34 800 04 99 15","2025-05-16 05:19:53","1"
"92","Santos","2023-06-14 15:12:11","Callejón de Guadalupe Capdevila 82, Teruel, 13202","lucas.santos@hotmail.com",True,"2004-07-18 00:00:00","Lucas","+34923 493 296","2023-06-28 15:12:11","1"
"93","Roma","2023-12-03 15:05:20","Via de Gil Checa 45, Córdoba, 26137","pascuala.roma@hotmail.com",True,"1984-10-26 00:00:00","Pascuala","+34884 549 904","2024-01-09 15:05:20","1"
"94","Palomares","2024-03-15 04:10:10","Pasaje Marino Cuesta 58, Santa Cruz de Tenerife, 20335","francisca.palomares@hotmail.com",True,"1996-03-30 00:00:00","Francisca","+34876327279","2024-03-29 04:10:10","1"
"95","Ricart","2023-11-07 17:07:48","Avenida Begoña Salom 251, Navarra, 34127","raúl.ricart@hotmail.com",True,"1993-05-23 00:00:00","Raúl","+34987 225 871","2023-11-07 17:07:48","1"
"96","Fuertes","2024-12-16 11:34:21","Calle de Wilfredo Catalán 167, Soria, 21196","irma.fuertes@hotmail.com",True,"1955-11-26 00:00:00","Irma","+34944 403 910","2024-12-20 11:34:21","1"
"97","Ocaña","2024-05-17 01:59:34","Cuesta Amílcar Madrid 32, Huesca, 26066","teo.ocaña@hotmail.com",True,"1980-02-09 00:00:00","Teo","+34 941 182 512","2024-07-01 01:59:34","1"
"98","Pozo","2024-02-27 13:32:23","Plaza Marc Sierra 768, Ciudad, 31187","brígida.pozo@hotmail.com",True,"1964-12-22 00:00:00","Brígida","+34 886 310 690","2024-04-07 13:32:23","1"
"99","Fábregas","2023-07-17 12:50:52","Calle de Jose Ignacio Arregui 47, Valladolid, 51860","jose angel.fábregas@gmail.com",True,"1963-12-16 00:00:00","Jose Angel","+34981 43 95 99","2023-07-20 12:50:52","1"
"100","Montes","2024-04-30 12:15:02","Ronda Marcelo Llopis 9, Santa Cruz de Tenerife, 45482","maría teresa.montes@gmail.com",True,"1992-03-30 00:00:00","María Teresa","+34980 056 856","2024-05-14 12:15:02","1"
"101","Company","2024-04-22 04:55:26","Urbanización de Reina Gomis 82, Navarra, 28045","sebastian.company@yahoo.com",True,"1992-05-05 00:00:00","Sebastian","+34 986 26 34 35","2024-04-26 04:55:26","1"
"102","Bermúdez","2024-09-02 02:00:30","Calle Julio Pi 290, Zaragoza, 50918","flor.bermúdez@yahoo.com",True,"2003-09-16 00:00:00","Flor","+34 876 735 403","2024-10-29 02:00:30","1"
"103","Carpio","2024-03-08 17:44:17","C. Yolanda Heras 754, Murcia, 43514","goyo.carpio@hotmail.com",True,"1975-05-29 00:00:00","Goyo","+34883 587 717","2024-03-10 17:44:17","1"
"104","Montero","2023-11-03 01:56:04","Calle de Chus Giralt 50 Puerta 9 , Girona, 10988","maría.montero@gmail.com",True,"1976-11-12 00:00:00","María","+34 878693785","2023-12-28 01:56:04","1"
"105","Torres","2023-07-11 09:01:42","Acceso Fortunato Chaves 972 Puerta 0 , Asturias, 44792","josé ángel.torres@hotmail.com",True,"2006-06-07 00:00:00","José Ángel","+34 706 231 203","2023-08-01 09:01:42","1"
"106","Sarmiento","2025-02-24 07:00:14","Plaza de Adolfo Reina 1 Puerta 4 , Albacete, 33913","anselma.sarmiento@yahoo.com",True,"2001-11-28 00:00:00","Anselma","+34 952 11 82 33","2025-02-28 07:00:14","1"
"107","Zurita","2024-10-23 11:10:18","Avenida de Raúl Ramis 49 Puerta 3 , Soria, 06283","estefanía.zurita@yahoo.com",True,"1998-08-24 00:00:00","Estefanía","+34 741 66 68 70","2024-11-24 11:10:18","1"
"108","Agustí","2025-04-23 01:51:58","Ronda de Filomena Muñoz 118, Castellón, 46369","febe.agustí@hotmail.com",True,"1992-12-27 00:00:00","Febe","+34 977 401 489","2025-05-08 01:51:58","1"
"109","Aparicio","2024-08-16 20:37:56","Camino Ernesto Puig 5, Ourense, 16759","gema.aparicio@gmail.com",True,"1980-11-25 00:00:00","Gema","+34 988562185","2024-09-02 20:37:56","1"
"110","Cabañas","2024-03-06 01:27:22","C. de María Ángeles Morera 5, Madrid, 15951","balduino.cabañas@yahoo.com",True,"1992-01-20 00:00:00","Balduino","+34 941 629 619","2024-04-17 01:27:22","1"
"111","Hoz","2024-01-29 03:10:35","Vial de Ricardo Correa 65, Ávila, 01340","manolo.hoz@hotmail.com",True,"1984-09-06 00:00:00","Manolo","+34 927 41 21 26","2024-02-29 03:10:35","1"
"112","Vila","2024-03-30 21:45:44","Acceso Casandra Buendía 795, Girona, 28119","vidal.vila@yahoo.com",True,"1960-03-08 00:00:00","Vidal","+34 880 98 26 22","2024-04-12 21:45:44","1"
"113","Mascaró","2023-12-12 05:25:36","Rambla Trinidad Llorente 84, Huesca, 17495","julio césar.mascaró@yahoo.com",True,"2003-06-24 00:00:00","Julio César","+34980 993 712","2024-01-15 05:25:36","1"
"114","Agudo","2024-04-08 00:22:42","Pasaje de Nicanor Ros 624 Puerta 3 , Guadalajara, 12641","marco.agudo@yahoo.com",True,"1976-02-20 00:00:00","Marco","+34888793564","2024-04-16 00:22:42","1"
"115","Pozo","2024-11-07 09:52:02","Paseo Amando Serrano 57, Zamora, 27813","olga.pozo@yahoo.com",True,"1988-05-25 00:00:00","Olga","+34843434266","2024-12-23 09:52:02","1"
"116","Sanchez","2024-11-10 21:38:46","Paseo de Angelino Palomares 291 Apt. 52 , Ourense, 43272","candelario.sanchez@hotmail.com",True,"1998-06-06 00:00:00","Candelario","+34 945561014","2025-01-08 21:38:46","1"
"117","Vicens","2023-09-01 20:20:38","C. de Abigaíl Vall 15 Piso 1 , La Rioja, 06626","iván.vicens@hotmail.com",True,"2004-02-08 00:00:00","Iván","+34 844545738","2023-10-27 20:20:38","1"
"118","Olivé","2024-07-08 11:28:41","Alameda de Bonifacio Marín 2 Apt. 51 , Valencia, 16985","almudena.olivé@yahoo.com",True,"1966-04-17 00:00:00","Almudena","+34 847586736","2024-08-13 11:28:41","1"
"119","Espinosa","2023-10-26 21:50:19","Glorieta Vinicio Román 40 Apt. 41 , Zaragoza, 36185","eva.espinosa@gmail.com",True,"1979-04-24 00:00:00","Eva","+34921 371 478","2023-12-01 21:50:19","1"
"120","Millán","2024-01-26 21:21:02","Acceso Pastor Seco 224 Puerta 2 , Baleares, 16635","feliciana.millán@hotmail.com",True,"1962-05-18 00:00:00","Feliciana","+34 865286692","2024-02-25 21:21:02","1"
"121","Pla","2024-06-14 02:25:11","Paseo Flavio Tovar 32 Piso 7 , Huelva, 01628","consuelo.pla@yahoo.com",True,"1963-09-17 00:00:00","Consuelo","+34 872688767","2024-06-29 02:25:11","1"
"122","Saldaña","2024-08-16 01:08:36","Urbanización Luís Antúnez 93, Cáceres, 30971","severo.saldaña@yahoo.com",True,"2004-12-12 00:00:00","Severo","+34980 881 914","2024-10-05 01:08:36","1"
"123","Pedraza","2025-01-26 03:28:35","Ronda Cristian Huertas 80 Piso 5 , León, 08693","matilde.pedraza@hotmail.com",True,"1970-07-18 00:00:00","Matilde","+34874959629","2025-02-25 03:28:35","1"
"124","Gabaldón","2025-05-17 07:44:41","Paseo de Florentino Morales 54 Puerta 1 , Valladolid, 27974","emilio.gabaldón@gmail.com",True,"1958-06-15 00:00:00","Emilio","+34 886223253","2025-07-07 07:44:41","1"
"125","Pozo","2024-02-12 21:46:08","C. de Vito Benet 7 Puerta 4 , Lleida, 32984","maría.pozo@yahoo.com",True,"1994-01-08 00:00:00","María","+34 617 51 86 36","2024-03-09 21:46:08","1"
